Income,Tenure,FICO,Origination,Amount,Grade
120023,10+ years,672,May-03-2019,35000,C
38000,2 years,802,May-09-2019,12750,C
64000,10+ years,692,Apr-10-2019,30000,D
65000,5 years,667,Jun-11-2019,3500,D
52000,10+ years,682,May-08-2019,"NA",C
"NA",4 years,682,May-21-2019,16000,D
47000,10+ years,802,Jun-29-2019,6000,A
95000,10+ years,692,May-29-2019,2000,B
60000,5 years,717,Apr-05-2019,15000,A
115094,10+ years,702,May-05-2019,2000,C
120009,10+ years,687,Apr-12-2019,10000,B
14000,0 years,717,Apr-20-2019,4000,A
70000,10+ years,772,n/a,15000,A
,10+ years,682,Jun-29-2019,10000,C
65000,5 years,717,Jun-25-2019,"NA",C
175512,5 years,777,Apr-02-2019,8925,A
33000,0 years,687,May-24-2019,4000,B
84000,10+ years,722,Jun-21-2019,9025,B
40000,1 year,697,May-17-2019,20000,D
85400,0 years,667,Apr-10-2019,2000,C
160090,4 years,677,Apr-11-2019,34400,B
95000,9 years,712,Jun-18-2019,,B
42000,10+ years,n/a,May-14-2019,7500,C
175014,3 years,692,Apr-23-2019,7000,B
45000,10+ years,707,May-05-2019,6300,B
79200,0 years,707,Jun-29-2019,18000,D
70000,6 years,742,Jun-09-2019,7500,A
140052,10+ years,682,Jun-04-2019,31900,C
62000,10+ years,767,Jun-25-2019,16500,A
67000,5 years,757,May-22-2019,19500,B
220035,10+ years,812,,5250,A
125090,10+ years,692,Jun-10-2019,9900,C
,2 years,682,Apr-02-2019,10800,D
450053,1 year,692,May-15-2019,,D
49000,2 years,707,Jun-15-2019,30000,D
80000,0 years,712,Jun-09-2019,12750,B
360048,10+ years,707,May-14-2019,"NA",A
35360,10+ years,777,Jun-21-2019,3000,D
50000,4 years,737,May-04-2019,"NA",A
,10+ years,662,May-29-2019,16000,C
44000,10+ years,772,May-17-2019,24000,D
89000,0 years,"NA",Jun-09-2019,40000,B
65000,3 years,682,May-26-2019,10000,D
74000,5 years,677,Apr-18-2019,10000,A
193013,10+ years,677,Apr-06-2019,10625,D
50000,1 year,752,Jun-05-2019,6500,A
69800,3 years,712,Jun-18-2019,10000,B
98000,0 years,742,May-10-2019,22000,A
102062,4 years,777,Apr-17-2019,15000,B
55000,10+ years,707,Apr-03-2019,24000,D
60000,3 years,752,Jun-26-2019,2000,A
35000,0 years,682,Jun-01-2019,14400,D
175017,10+ years,722,Apr-20-2019,40000,B
140085,2 years,667,Jun-11-2019,18000,B
130012,10+ years,747,May-02-2019,3500,A
60000,0 years,672,Jun-30-2019,23000,B
200019,5 years,777,Jun-17-2019,40000,A
115094,6 years,732,May-16-2019,16000,A
150062,10+ years,807,Jun-22-2019,10100,A
120074,3 years,672,Jun-21-2019,24000,D
85000,10+ years,717,Apr-20-2019,n/a,A
72000,10+ years,727,Apr-10-2019,4800,C
160002,10+ years,762,May-12-2019,29100,B
120053,0 years,"NA",Apr-20-2019,1100,B
54000,10+ years,n/a,Jun-21-2019,20000,B
136030,9 years,722,Apr-02-2019,40000,B
39624,4 years,"NA",May-21-2019,11400,B
110042,10+ years,672,May-31-2019,10000,C
82500,10+ years,737,Apr-09-2019,15000,A
85000,10+ years,712,May-04-2019,18000,A
60000,10+ years,742,May-01-2019,24000,B
90000,10+ years,817,"NA",3000,B
86000,10+ years,752,May-01-2019,6000,D
47000,5 years,,May-30-2019,25000,C
n/a,10+ years,797,Apr-07-2019,3000,A
400073,4 years,812,Jun-07-2019,40000,A
82500,1 year,697,Jun-01-2019,5000,C
130041,10+ years,747,May-18-2019,40000,A
57000,10+ years,727,Apr-08-2019,21000,D
46100,3 years,677,Jun-11-2019,4000,B
38000,5 years,767,Jun-03-2019,8000,A
70000,2 years,677,Jun-05-2019,18750,B
127017,6 years,742,May-31-2019,18000,C
45000,0 years,717,Apr-12-2019,20000,B
150025,2 years,717,May-13-2019,40000,C
83000,0 years,697,Jun-01-2019,15500,C
140066,5 years,"NA",Jun-06-2019,6000,C
95000,10+ years,707,Jun-06-2019,15950,D
180003,7 years,712,May-03-2019,15000,B
205094,0 years,672,May-14-2019,20000,D
73000,10+ years,777,Apr-10-2019,30000,A
78000,0 years,727,Jun-27-2019,4000,B
80000,10+ years,702,"NA",28000,C
53000,8 years,762,May-25-2019,22925,A
"NA",6 years,697,May-20-2019,24000,A
33000,10+ years,662,Apr-14-2019,8000,C
135053,10+ years,702,Apr-01-2019,40000,A
85000,10+ years,712,Apr-15-2019,10000,B
102033,10+ years,757,May-31-2019,10000,A
125014,1 year,712,"NA",10000,B
205049,10+ years,752,Jun-25-2019,16500,B
65000,10+ years,702,Jun-16-2019,"NA",B
60000,2 years,672,Apr-30-2019,12000,B
36000,1 year,692,Apr-10-2019,5000,A
125052,10+ years,782,Jun-03-2019,9600,A
85000,9 years,722,Jun-19-2019,12000,C
37400,10+ years,697,May-30-2019,23950,C
113537,6 years,712,May-20-2019,3925,A
68000,0 years,682,May-09-2019,10000,B
60000,7 years,712,May-31-2019,16000,C
85000,6 years,672,Apr-13-2019,20000,D
62000,5 years,667,Apr-04-2019,10000,C
180091,10+ years,687,Apr-08-2019,40000,A
69000,10+ years,777,Apr-17-2019,20000,B
63000,2 years,687,Apr-23-2019,5000,C
39000,5 years,677,Jun-22-2019,6000,C
30000,5 years,702,Jun-05-2019,12000,C
96000,9 years,722,Jun-11-2019,19025,B
56000,8 years,682,Jun-10-2019,16000,C
20000,7 years,687,May-15-2019,20000,B
404018,5 years,677,Apr-07-2019,36000,A
62500,4 years,677,Apr-14-2019,16000,D
78000,10+ years,682,May-16-2019,15000,B
57389,10+ years,697,Apr-17-2019,3900,A
85000,10+ years,732,Jun-18-2019,3000,D
81000,3 years,667,May-15-2019,24000,D
423023,8 years,807,May-16-2019,29300,A
65000,0 years,677,Jun-30-2019,4500,C
95000,3 years,672,Apr-29-2019,1800,C
137093,10+ years,707,May-18-2019,10000,C
35000,0 years,672,"NA",7000,C
57000,4 years,752,Jun-08-2019,1600,A
60000,7 years,687,May-28-2019,10000,A
60000,5 years,692,Jun-28-2019,15175,C
63400,6 years,672,May-16-2019,4000,D
90000,8 years,707,Apr-19-2019,14000,C
70000,4 years,672,Jun-27-2019,3500,D
69000,10+ years,757,May-06-2019,28000,D
75000,9 years,732,May-10-2019,3300,C
52000,6 years,697,Apr-19-2019,12000,A
72000,10+ years,822,Jun-08-2019,12000,B
60000,1 year,672,Apr-20-2019,16800,C
280090,10+ years,787,Jun-07-2019,25000,A
50000,3 years,682,May-04-2019,n/a,D
30000,8 years,662,Jun-18-2019,4500,D
101289,10+ years,742,Apr-20-2019,24000,C
74596,4 years,742,Apr-30-2019,3500,A
60000,4 years,787,May-29-2019,"NA",B
108093,3 years,677,Apr-28-2019,10000,D
102075,10+ years,742,Jun-12-2019,40000,C
35000,0 years,767,Apr-20-2019,14700,B
116066,0 years,677,Apr-02-2019,20000,C
,4 years,672,Apr-27-2019,15000,D
60000,5 years,697,Apr-23-2019,11000,B
30000,5 years,762,Apr-27-2019,1400,B
52000,6 years,752,Apr-23-2019,2000,A
73000,2 years,687,Jun-30-2019,10000,D
275046,10+ years,682,Jun-19-2019,35000,D
99000,10+ years,727,Jun-29-2019,18000,C
35000,0 years,,Apr-12-2019,12000,C
42000,10+ years,712,May-06-2019,4500,A
63000,10+ years,692,May-10-2019,7575,D
62000,5 years,772,Jun-10-2019,33000,A
102048,10+ years,782,Apr-27-2019,12550,A
80000,0 years,697,Apr-08-2019,15000,C
96000,2 years,672,Apr-06-2019,34025,C
105030,8 years,662,Jun-25-2019,5000,B
40000,2 years,707,May-31-2019,3850,A
25000,4 years,667,May-23-2019,5000,C
47124,3 years,817,Jun-18-2019,20000,C
126034,5 years,687,Jun-17-2019,10000,B
112083,10+ years,797,Apr-24-2019,4000,A
,3 years,662,Jun-18-2019,8425,D
47760,4 years,787,Apr-06-2019,32925,B
100051,3 years,772,May-07-2019,1125,A
85000,10+ years,682,Jun-23-2019,15000,C
86000,10+ years,727,Jun-12-2019,20000,B
10000,0 years,712,"NA",20000,D
120067,10+ years,,Apr-05-2019,20000,D
225012,8 years,662,May-30-2019,26000,D
77000,9 years,667,Apr-08-2019,5300,B
200079,4 years,747,Jun-21-2019,29900,B
40078,10+ years,667,May-01-2019,10000,C
90000,10+ years,722,Jun-05-2019,10800,D
103094,10+ years,747,May-31-2019,12000,A
61800,1 year,687,Jun-07-2019,1500,D
,8 years,,Apr-17-2019,13125,A
24000,2 years,667,May-29-2019,5000,C
110048,5 years,722,"NA",35000,A
199010,3 years,737,Jun-03-2019,9750,B
110020,10+ years,672,Apr-13-2019,15000,D
99000,4 years,687,Jun-16-2019,20000,D
70000,10+ years,687,Apr-05-2019,10000,C
48000,10+ years,677,Apr-06-2019,14875,B
61000,10+ years,672,May-26-2019,10000,D
90000,10+ years,702,Jun-10-2019,16000,D
120099,10+ years,697,Apr-24-2019,26575,B
69000,10+ years,702,May-27-2019,15500,A
120078,5 years,682,May-21-2019,32000,C
104092,10+ years,747,May-06-2019,8500,A
97186,10+ years,672,Apr-06-2019,18000,D
96000,6 years,707,Jun-19-2019,21000,D
80000,4 years,707,Apr-25-2019,30000,D
53000,10+ years,787,May-26-2019,1700,A
40000,2 years,667,Apr-14-2019,5100,A
80000,10+ years,707,Jun-24-2019,24000,A
45000,4 years,677,May-26-2019,11200,A
58000,2 years,772,Apr-23-2019,13075,A
51000,10+ years,702,Jun-22-2019,6375,A
2000,6 years,702,May-21-2019,30000,D
40000,5 years,742,Jun-29-2019,6000,B
31200,10+ years,727,May-08-2019,4400,B
60000,9 years,747,May-09-2019,22000,B
53000,3 years,782,"NA",21600,B
140093,10+ years,697,Jun-07-2019,30000,C
172081,10+ years,677,May-16-2019,25525,C
60000,2 years,672,Apr-20-2019,30000,D
65000,10+ years,,Apr-07-2019,1000,B
60000,1 year,692,n/a,22000,D
38726,1 year,687,May-12-2019,7800,C
74000,2 years,737,,5575,A
45000,10+ years,677,Apr-10-2019,6000,D
70000,4 years,727,Jun-14-2019,5000,A
140065,10+ years,667,Apr-03-2019,8500,C
54600,10+ years,672,Apr-08-2019,10800,D
55692,8 years,672,Jun-08-2019,12500,C
73000,3 years,682,Apr-09-2019,,C
65000,5 years,662,May-22-2019,16000,D
50000,10+ years,,May-01-2019,10000,D
72000,0 years,692,Apr-06-2019,6200,B
39000,10+ years,702,May-30-2019,11200,D
98000,2 years,672,Apr-11-2019,10000,D
32000,3 years,692,Jun-15-2019,3000,C
96100,0 years,727,May-25-2019,18000,A
46000,0 years,687,Apr-03-2019,2000,D
42000,2 years,727,Jun-25-2019,12000,A
140100,8 years,682,Apr-15-2019,14000,D
92000,4 years,n/a,Apr-11-2019,20000,B
85000,7 years,692,,15000,D
84000,10+ years,702,Apr-12-2019,,A
n/a,10+ years,687,May-23-2019,12000,A
55000,10+ years,697,Jun-17-2019,n/a,A
100018,10+ years,682,"NA",9500,D
61000,4 years,752,Jun-06-2019,4000,A
60000,10+ years,702,May-02-2019,7200,B
67000,10+ years,662,Apr-05-2019,8000,D
123078,7 years,732,May-04-2019,11000,B
300089,2 years,777,Apr-08-2019,16150,A
42000,0 years,672,Jun-15-2019,8500,B
72800,3 years,732,May-13-2019,2500,A
110038,3 years,712,Jun-02-2019,12000,C
59000,1 year,757,Jun-03-2019,2400,A
52500,1 year,742,Apr-01-2019,9600,A
65000,10+ years,727,Apr-29-2019,1800,B
123515,8 years,n/a,Apr-12-2019,34750,C
40000,5 years,692,Apr-13-2019,6000,D
99836,0 years,752,May-16-2019,19000,A
70000,0 years,672,Jun-16-2019,15000,D
58000,5 years,707,Jun-02-2019,18000,A
40000,3 years,757,Apr-16-2019,3025,A
232023,10+ years,717,Jun-28-2019,35000,D
35000,2 years,692,May-28-2019,12000,D
65100,1 year,672,May-19-2019,25000,C
50257,10+ years,662,Jun-15-2019,21400,C
100020,10+ years,687,Apr-02-2019,35000,C
400024,10+ years,717,May-05-2019,17275,D
62000,10+ years,682,Jun-30-2019,2000,D
225028,7 years,,May-12-2019,16000,A
240056,6 years,672,Apr-10-2019,32000,C
75000,10+ years,712,May-01-2019,10000,B
80000,1 year,692,May-04-2019,8000,C
50341,3 years,672,Apr-23-2019,12500,C
85000,8 years,712,Apr-02-2019,4175,A
218089,2 years,717,Apr-10-2019,5600,A
103054,10+ years,n/a,Apr-11-2019,12000,C
48000,1 year,692,May-26-2019,8000,C
52000,10+ years,782,Jun-15-2019,17000,B
65000,10+ years,762,May-08-2019,10400,A
50000,1 year,687,May-17-2019,3000,C
100070,10+ years,687,Jun-21-2019,12000,C
70000,0 years,682,Jun-05-2019,3800,C
135055,10+ years,797,Apr-10-2019,35000,C
41000,5 years,677,Apr-03-2019,2000,D
72000,8 years,687,May-30-2019,8825,C
90000,4 years,682,May-30-2019,28000,D
94000,10+ years,707,"NA",14400,B
88000,10+ years,732,Jun-05-2019,15000,B
100036,2 years,672,Apr-16-2019,24000,D
112660,10+ years,702,Apr-20-2019,30000,C
169569,5 years,,May-17-2019,18000,A
93000,10+ years,697,May-01-2019,40000,D
50000,2 years,752,May-26-2019,10000,A
25000,0 years,702,Apr-14-2019,8000,D
37793.6,3 years,667,Apr-06-2019,5000,D
110012,8 years,802,Apr-05-2019,12000,B
39000,4 years,692,Apr-22-2019,7075,D
25000,0 years,767,Apr-18-2019,40000,C
60000,5 years,737,Apr-13-2019,16000,A
93000,3 years,667,Jun-23-2019,10000,D
90000,10+ years,757,May-08-2019,5600,B
150073,10+ years,687,Jun-12-2019,10000,C
200023,0 years,727,Jun-18-2019,25000,D
100019,1 year,772,May-11-2019,10000,A
74000,10+ years,672,May-17-2019,11000,D
75000,0 years,712,May-09-2019,22000,C
148069,10+ years,747,Apr-06-2019,40000,A
130583,3 years,702,Apr-01-2019,35000,B
60000,1 year,667,Apr-26-2019,2200,B
54840,7 years,707,Apr-26-2019,12000,D
46000,5 years,702,May-16-2019,11575,D
140028,10+ years,692,Apr-28-2019,23400,A
50000,3 years,717,Jun-28-2019,11000,B
155122,0 years,677,Jun-27-2019,38000,A
48000,1 year,667,May-01-2019,6000,C
111014,3 years,712,May-19-2019,7500,C
32500,3 years,712,Jun-29-2019,6000,D
68000,4 years,712,May-07-2019,10000,A
,10+ years,732,Jun-26-2019,35000,D
58000,10+ years,712,,10000,B
135000,0 years,662,May-19-2019,35000,B
95000,10+ years,802,Apr-01-2019,40000,A
180096,4 years,837,Apr-28-2019,10450,A
163413,10+ years,702,May-25-2019,12000,A
52000,10+ years,772,Apr-16-2019,6000,A
140050,5 years,687,Jun-02-2019,32000,B
140069,9 years,"NA",May-30-2019,20000,C
60000,10+ years,742,May-18-2019,13000,C
"NA",4 years,717,Apr-25-2019,30000,B
185094,10+ years,682,May-06-2019,31900,C
56000,10+ years,767,May-16-2019,18600,C
35000,10+ years,742,Jun-05-2019,"NA",A
65000,10+ years,712,Jun-24-2019,21500,C
80000,0 years,777,May-14-2019,11000,A
60000,3 years,692,May-20-2019,5000,C
49000,9 years,687,Jun-01-2019,18000,D
45000,10+ years,757,Apr-25-2019,4000,A
60000,8 years,742,Apr-27-2019,25000,A
146084,0 years,667,May-30-2019,16000,D
81000,9 years,767,May-08-2019,25000,A
85000,10+ years,697,"NA",6000,C
28000,1 year,697,Apr-16-2019,10500,D
135044,10+ years,727,Jun-11-2019,12000,B
117048,6 years,662,Jun-17-2019,10000,C
40000,8 years,692,Jun-10-2019,20000,D
102046,5 years,707,May-06-2019,14000,A
80000,10+ years,702,Apr-03-2019,20000,B
62400,4 years,682,Jun-08-2019,5000,C
65000,1 year,747,Jun-11-2019,4200,A
100091,10+ years,667,May-23-2019,10625,D
99000,1 year,662,Jun-26-2019,12750,D
75000,0 years,687,Jun-14-2019,7000,D
88000,10+ years,662,Apr-17-2019,12000,D
66000,10+ years,692,May-16-2019,10000,D
97000,0 years,n/a,May-29-2019,35000,B
88300,10+ years,677,Jun-19-2019,24000,A
150072,10+ years,722,Jun-08-2019,15000,A
110096,1 year,732,May-20-2019,40000,A
88000,5 years,737,May-08-2019,30000,C
35000,2 years,742,Apr-26-2019,24000,B
300034,0 years,717,Apr-05-2019,40000,B
56000,10+ years,722,,2400,A
100005,6 years,727,Apr-05-2019,n/a,B
55000,6 years,662,Apr-02-2019,"NA",C
38620,0 years,677,Apr-25-2019,10000,B
42365,10+ years,757,Apr-05-2019,18800,C
60000,1 year,682,Apr-21-2019,19200,D
55000,2 years,727,Jun-07-2019,4500,B
n/a,2 years,667,Jun-30-2019,15000,D
34000,6 years,687,Jun-29-2019,7000,C
75000,3 years,667,Jun-16-2019,3500,A
40000,3 years,717,Jun-15-2019,16000,D
86000,9 years,677,Apr-28-2019,"NA",B
120094,6 years,732,Apr-12-2019,30000,A
82000,2 years,702,Jun-14-2019,6000,C
41000,6 years,712,Apr-11-2019,4000,D
72000,10+ years,752,May-28-2019,40000,A
41000,1 year,687,Jun-25-2019,9500,B
73000,10+ years,677,Jun-14-2019,15000,C
47000,3 years,687,Apr-17-2019,3000,C
88000,10+ years,777,Jun-05-2019,6000,A
60000,10+ years,742,Jun-19-2019,3150,A
90000,7 years,772,May-08-2019,11200,A
35000,10+ years,712,Jun-04-2019,19125,B
165017,10+ years,687,Apr-18-2019,13000,C
70000,5 years,737,May-02-2019,12000,C
40000,3 years,667,Jun-28-2019,10000,B
116024,10+ years,737,Apr-21-2019,15000,B
n/a,3 years,792,Apr-17-2019,6000,A
52000,2 years,727,Jun-06-2019,2500,C
45000,10+ years,767,Apr-25-2019,21600,B
78500,10+ years,697,May-18-2019,16000,C
73325,10+ years,742,Jun-21-2019,15500,C
198053,10+ years,802,Jun-10-2019,12000,A
120016,1 year,707,Jun-22-2019,4500,B
85000,9 years,747,Apr-08-2019,6875,B
145017,10+ years,697,Jun-21-2019,10000,B
56757,2 years,777,Apr-09-2019,40000,B
67000,2 years,742,Jun-15-2019,7000,B
46800,10+ years,677,Jun-02-2019,15000,B
95748,10+ years,727,Jun-04-2019,19200,B
560001,10+ years,727,May-08-2019,23700,A
57000,4 years,777,May-20-2019,12000,C
49000,10+ years,692,Apr-08-2019,23225,D
48000,2 years,797,Apr-05-2019,5500,A
95000,3 years,707,May-28-2019,10000,D
175032,0 years,747,Jun-28-2019,5000,A
56000,9 years,702,Apr-05-2019,15750,C
100084,10+ years,817,n/a,10000,A
192674,5 years,747,Apr-21-2019,15000,B
84000,10+ years,697,Apr-05-2019,3850,C
75800,10+ years,667,Jun-30-2019,7000,D
130057,2 years,717,Apr-20-2019,11000,B
35000,1 year,677,Apr-27-2019,6000,B
32000,4 years,667,Jun-30-2019,12000,C
60000,4 years,777,Apr-15-2019,1500,A
150029,1 year,692,Apr-16-2019,3000,C
90000,3 years,712,Apr-22-2019,10000,D
86000,4 years,692,Jun-17-2019,18500,C
82000,8 years,747,Apr-09-2019,5000,B
70000,10+ years,667,Jun-28-2019,1000,C
141057,6 years,667,May-25-2019,14400,D
250057,0 years,702,May-20-2019,35000,C
60000,1 year,692,May-10-2019,1200,D
50000,8 years,n/a,Apr-25-2019,20000,B
95000,7 years,677,Jun-11-2019,12000,D
150006,3 years,777,Jun-03-2019,40000,A
67200,10+ years,677,Jun-08-2019,10000,D
120022,9 years,697,Jun-30-2019,18000,B
81000,5 years,682,May-09-2019,7800,B
100100,10+ years,762,Jun-28-2019,32650,C
17000,6 years,747,Apr-01-2019,7500,A
45000,10+ years,"NA",May-08-2019,21600,D
50000,6 years,812,Apr-01-2019,14000,B
70000,10+ years,672,Jun-29-2019,22000,D
60000,10+ years,662,May-11-2019,15000,B
24000,10+ years,712,Apr-29-2019,,C
84000,10+ years,717,Jun-13-2019,18000,C
90000,10+ years,717,May-24-2019,10000,B
89000,10+ years,667,Jun-30-2019,12600,A
55000,4 years,737,Jun-29-2019,6400,A
90000,2 years,707,Apr-18-2019,6025,B
174074,10+ years,752,May-15-2019,30000,B
40000,10+ years,722,Apr-06-2019,3300,C
140077,1 year,697,Jun-02-2019,7500,B
46000,2 years,752,Jun-24-2019,14500,B
115021,6 years,747,n/a,17000,B
35000,1 year,757,Jun-20-2019,4500,A
54725,2 years,742,Apr-04-2019,10000,B
115090,10+ years,737,"NA",11000,B
75000,1 year,697,Apr-19-2019,25000,D
63300,10+ years,702,"NA",20000,C
78000,10+ years,702,May-22-2019,5000,A
126095,1 year,712,Jun-14-2019,25000,D
50000,7 years,687,Jun-09-2019,13000,D
60000,2 years,732,May-24-2019,12000,B
100006,10+ years,667,Apr-02-2019,5000,D
123561,3 years,722,May-08-2019,9000,B
44530,4 years,687,Apr-23-2019,15000,A
159077,8 years,732,Apr-29-2019,9000,A
88000,10+ years,712,May-16-2019,15000,A
66000,3 years,732,Jun-16-2019,7500,B
75000,10+ years,717,May-31-2019,25500,C
38400,0 years,717,Apr-15-2019,4500,B
70000,7 years,712,Apr-11-2019,12000,B
120045,10+ years,682,Jun-03-2019,5000,C
100063,8 years,742,Apr-23-2019,20000,B
134570,10+ years,667,Jun-20-2019,15000,A
41000,1 year,667,Jun-18-2019,11300,B
105006,9 years,752,Jun-28-2019,8000,A
50000,9 years,687,May-09-2019,12000,A
70000,10+ years,667,May-02-2019,8000,C
31000,1 year,692,Jun-29-2019,4000,D
56000,2 years,712,May-30-2019,2500,D
98650,9 years,697,May-24-2019,5600,A
80000,6 years,732,Apr-27-2019,23500,A
125076,10+ years,817,Apr-02-2019,2500,A
96000,3 years,677,Jun-03-2019,8500,C
25000,10+ years,752,Apr-27-2019,19175,D
65500,9 years,712,Jun-14-2019,6600,C
31200,0 years,,Apr-19-2019,4200,C
50000,2 years,742,Apr-08-2019,1450,A
90000,4 years,707,May-31-2019,20000,C
72000,3 years,787,Jun-20-2019,n/a,A
102064,8 years,707,May-17-2019,12000,C
130059,3 years,757,May-22-2019,14425,C
35000,3 years,737,Jun-15-2019,12750,B
28000,5 years,672,Jun-21-2019,5000,C
55600,10+ years,702,Jun-07-2019,10000,C
60000,10+ years,702,Jun-12-2019,10800,D
91000,0 years,807,Jun-15-2019,12000,A
179034,0 years,"NA",,10000,D
200014,6 years,762,May-27-2019,10000,A
60000,1 year,677,May-21-2019,"NA",A
60000,10+ years,662,Apr-05-2019,13000,D
90000,3 years,707,Apr-07-2019,17000,A
167041,4 years,692,Apr-14-2019,40000,A
200018,1 year,692,Apr-30-2019,30000,D
51000,1 year,687,May-01-2019,4500,D
55000,0 years,667,Jun-01-2019,15000,C
123567,5 years,752,Jun-21-2019,10000,A
65000,10+ years,742,Jun-10-2019,5000,A
85000,0 years,737,Jun-12-2019,24000,A
140027,10+ years,687,Apr-28-2019,16000,A
55000,1 year,697,Apr-15-2019,14025,D
252062,3 years,702,May-15-2019,35000,C
85000,2 years,702,Jun-19-2019,25000,B
130032,10+ years,717,Jun-07-2019,8500,C
117087,10+ years,682,Apr-18-2019,25000,D
54000,10+ years,672,May-31-2019,25000,C
125014,0 years,762,Apr-08-2019,40000,A
45000,1 year,682,Jun-21-2019,3000,C
60000,8 years,787,Apr-29-2019,3500,B
375025,9 years,767,Jun-23-2019,40000,A
168015,10+ years,712,May-11-2019,5500,D
70000,7 years,677,Apr-09-2019,4800,D
45000,0 years,672,May-29-2019,1000,D
95000,5 years,687,May-25-2019,2875,C
188033,10+ years,697,Jun-02-2019,12000,D
110064,10+ years,737,Jun-20-2019,20000,C
30000,10+ years,672,May-10-2019,24000,D
92000,10+ years,682,Apr-07-2019,25000,D
45000,4 years,732,Jun-20-2019,7500,A
43500,2 years,677,May-11-2019,11000,B
66000,8 years,717,May-03-2019,12000,D
127013,0 years,747,Jun-21-2019,20000,B
94000,10+ years,697,Apr-07-2019,4000,C
70000,7 years,742,Apr-03-2019,30000,C
"NA",9 years,717,Jun-17-2019,15000,B
75000,1 year,697,Apr-15-2019,25000,D
230078,1 year,697,May-02-2019,40000,B
41000,10+ years,682,May-13-2019,12000,D
44000,10+ years,707,May-03-2019,15000,B
35000,3 years,687,"NA",20000,A
102027,10+ years,757,May-25-2019,12000,B
350033,10+ years,812,Apr-12-2019,10000,A
90000,6 years,777,Apr-08-2019,5600,A
45000,10+ years,782,Apr-24-2019,21050,B
n/a,10+ years,707,May-29-2019,16000,D
104036,5 years,747,May-24-2019,8000,B
88000,10+ years,692,May-27-2019,7500,B
80000,6 years,702,May-08-2019,,B
52000,6 years,687,Apr-22-2019,25000,D
n/a,8 years,672,Jun-28-2019,28000,C
100007,10+ years,787,May-16-2019,36000,A
94500,10+ years,762,Jun-10-2019,7500,A
56000,10+ years,687,Jun-03-2019,10800,C
100050,10+ years,822,Jun-22-2019,15000,A
60000,3 years,667,May-04-2019,30000,D
225038,5 years,702,May-03-2019,17575,C
116592,5 years,692,Apr-04-2019,10000,A
123093,6 years,682,Jun-21-2019,35000,C
129095,8 years,707,Apr-05-2019,40000,B
62000,4 years,702,May-23-2019,18000,C
91000,6 years,717,May-17-2019,20000,C
37440,0 years,"NA",Jun-04-2019,6050,A
62000,10+ years,717,Jun-11-2019,30000,C
75000,6 years,762,Jun-29-2019,3000,B
36000,3 years,662,Apr-21-2019,15400,B
45000,10+ years,667,Apr-05-2019,6800,B
75000,0 years,677,Jun-29-2019,25000,A
29846,2 years,722,May-10-2019,4800,C
99000,8 years,702,Apr-03-2019,19450,B
21000,3 years,777,Jun-04-2019,7000,B
"NA",10+ years,722,Apr-24-2019,13200,B
,10+ years,747,May-01-2019,14500,D
72000,8 years,747,Apr-22-2019,17550,B
60000,0 years,662,Jun-25-2019,24000,D
100084,10+ years,677,Apr-05-2019,31900,B
121002,10+ years,682,Apr-11-2019,14875,C
100030,2 years,,May-13-2019,5500,D
65000,8 years,772,Jun-26-2019,35000,A
150021,0 years,682,Jun-22-2019,35000,A
56500,3 years,702,Jun-20-2019,20400,C
100030,3 years,782,Jun-07-2019,26000,B
170032,10+ years,677,Apr-25-2019,36225,C
110006,2 years,662,May-13-2019,6000,B
95000,10+ years,712,Jun-14-2019,10000,B
22000,0 years,687,Apr-24-2019,"NA",C
80000,0 years,687,Jun-17-2019,20000,D
56000,5 years,807,May-12-2019,2100,A
65000,5 years,732,Apr-10-2019,5000,A
110042,6 years,712,May-20-2019,29000,A
55000,10+ years,677,May-08-2019,12000,B
"NA",0 years,752,Apr-23-2019,,A
78000,10+ years,,Apr-30-2019,3025,D
59000,0 years,722,Apr-23-2019,20000,B
,1 year,662,May-30-2019,10000,C
202098,5 years,707,May-10-2019,39750,A
75000,4 years,692,May-15-2019,6000,B
42000,0 years,712,Jun-04-2019,15000,B
75000,6 years,767,May-23-2019,6500,A
,5 years,792,Apr-22-2019,10000,C
97000,4 years,677,May-30-2019,10000,C
138056,10+ years,702,May-27-2019,7425,B
50000,10+ years,757,Jun-19-2019,15000,A
77600,3 years,712,Jun-17-2019,14500,D
37000,1 year,687,May-24-2019,4800,D
45000,0 years,702,Jun-08-2019,25000,C
85000,10+ years,732,May-13-2019,4800,B
240072,10+ years,687,Apr-16-2019,35000,A
66000,3 years,757,May-05-2019,40000,C
18000,0 years,737,Jun-22-2019,4500,A
60000,3 years,692,May-16-2019,23925,C
52000,3 years,667,Jun-16-2019,4800,E
72000,10+ years,692,May-26-2019,2500,C
60000,10+ years,687,May-09-2019,4000,D
38000,2 years,682,May-22-2019,14000,C
168097,4 years,n/a,May-19-2019,21000,B
56000,1 year,662,n/a,7975,C
81000,10+ years,697,May-17-2019,5000,A
118028,3 years,672,May-21-2019,10000,C
,0 years,712,Jun-27-2019,12600,D
118039,10+ years,707,Apr-01-2019,9000,B
165086,5 years,762,Apr-18-2019,40000,B
120022,10+ years,697,Jun-25-2019,40000,C
72000,4 years,707,,20000,A
75000,10+ years,682,May-25-2019,25000,D
200036,10+ years,702,May-12-2019,10625,B
212939,4 years,727,"NA",11250,C
85000,10+ years,707,May-21-2019,30000,B
