Income,Tenure,FICO,Origination,Amount,Grade
115056,10+ years,692,May-14-2019,4200,B
105009,0 years,762,Jun-28-2019,8400,A
65000,4 years,692,Apr-20-2019,5000,D
70000,10+ years,662,Apr-03-2019,8000,B
52000,6 years,757,Apr-25-2019,8000,A
28000,5 years,702,Apr-19-2019,3000,C
55000,2 years,722,Apr-24-2019,1500,B
70000,5 years,677,n/a,31900,B
55000,1 year,662,Apr-09-2019,17000,C
66560,10+ years,707,"NA",20000,D
57000,10+ years,792,Apr-05-2019,15000,B
53000,10+ years,697,Jun-05-2019,13500,A
"NA",4 years,687,May-15-2019,19000,B
41000,2 years,682,Jun-20-2019,,C
76000,6 years,782,Jun-12-2019,15000,C
105024,7 years,672,Jun-28-2019,10625,B
77000,10+ years,677,May-31-2019,12750,D
84000,2 years,697,May-05-2019,14000,D
75000,1 year,707,May-16-2019,14000,C
120002,2 years,762,May-29-2019,11000,A
50000,9 years,672,May-01-2019,7000,D
54000,2 years,697,May-08-2019,3825,B
41000,10+ years,677,Apr-14-2019,6000,C
110082,8 years,732,May-01-2019,16000,C
46000,10+ years,777,Jun-28-2019,25000,A
45000,1 year,727,May-11-2019,15950,C
90000,1 year,662,Jun-11-2019,4000,C
86500,10+ years,697,Jun-07-2019,16000,C
66000,2 years,727,"NA",16800,C
125089,8 years,687,May-26-2019,20000,D
54000,3 years,777,Apr-21-2019,28000,B
69000,0 years,702,Apr-27-2019,15000,A
80000,10+ years,687,Apr-26-2019,21000,D
n/a,6 years,737,Apr-29-2019,21275,B
65000,5 years,697,May-25-2019,15000,D
70000,10+ years,717,May-26-2019,7000,A
105086,10+ years,767,,3000,B
75000,2 years,722,Apr-15-2019,15950,B
70664,4 years,702,Jun-01-2019,10000,D
128069,10+ years,712,May-23-2019,30000,C
240019,10+ years,792,Jun-29-2019,25000,B
124040,10+ years,727,Jun-24-2019,7200,A
35000,3 years,717,Apr-28-2019,4000,C
90000,0 years,672,May-25-2019,7500,B
50000,0 years,667,May-18-2019,13675,D
